Re_D,Re_c_ave,mean_cp,mean_cd
300000.0,79800.00000000001,0.1759100807900592,0.865131995081805
400000.00000000006,106400.00000000003,0.19998141389110552,0.9342103207222505
500000.0,133000.0,0.23013729826044765,0.9085173167942069
600000.0,159600.00000000003,0.2396223856505446,0.9175045445920299
700000.0,186200.00000000003,0.2460974878136209,0.9206033951031243
800000.0000000001,212800.00000000006,0.2522892745054286,0.9268547380884745
900000.0000000001,239400.00000000006,0.2521415717075674,0.9234544674681915
1000000.0,266000.0,0.25213116135446273,0.9344076699282102
1100000.0000000002,292600.0000000001,0.2524997690056535,0.9310072502704088
1200000.0,319200.00000000006,0.2551735369098706,0.9407987488137206
1300000.0,345800.00000000006,0.2520255264018276,0.9451797641459897
