run,tow_speed,tare_drag
0,0.3,5.9090348488382824
1,0.4,9.721103187981717
2,0.5,15.310873601463596
3,0.6,22.505334460175433
4,0.7,31.435569775433475
5,0.8,41.900909700351846
6,0.9,52.888037420755815
7,1.0,61.048765770345774
8,1.1,71.74856558694445
9,1.2,85.48713096939693
10,1.3,100.40322144624666
11,1.4,116.04549985643858
