run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,amp_tsr,phase_tsr,amp_cp,phase_cp,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k,exp_unc_mean_u,exp_unc_mean_v,exp_unc_mean_w
0,1.0000519010767162,0.016958566983426047,15.0,29.86,44.0,14.0,3.1006129856689024,-0.02583539389999912,1.0525808845170739,0.023173403261369574,0.38393610923834653,0.08546613468359915,-0.003081816374088659,0.04044197217535855,0.06736190355963524,0.49549202550561205,0.007047747313252292,0.013845821673775856,0.015970791633995965,1.1031477931132716e-05,0.0031002236293111636,0.0003959740211954083,0.004069289561232011,0.010041897430922072,0.00924499497402978,13.000891791809496,20.912180212569787,13.223131067758244,15.0,29.86,0.0,0.25,0.39895284634374295,-0.06769090925130886,-0.19253432028315845,0.16194072722973313,0.20331342227512247,0.14226529731767165,0.026215966262964723,0.0037743399716942847,-0.00527403943770518,0.04132242971504138,4.19268540800704e-05,0.020232604788980774,0.04388550038349344,0.03179984559023049,0.0351267482740166,0.030110265242879995
1,1.0000688096862211,0.015110307514198376,15.0,29.66,42.0,14.0,2.9998124096689693,0.016536753779623683,1.039575133319105,0.03270271851947366,0.22869343754448415,0.08855489742968062,2.0790796647202723,0.04132674783107216,0.06924240990790223,0.47045289083212477,0.005269055448049663,0.014376908833456008,0.01811496483549728,1.0856012828481662e-05,0.002999500103788445,0.000395959709408982,0.003042315686702835,0.010137137564854837,0.010480156288338881,13.0015451422699,20.999526437053618,13.17353539318373,15.0,29.66,0.0,0.25,0.3959986342715523,-0.07183993170582197,-0.21434890841992157,0.1719848925335769,0.20865038513093812,0.13981855211709354,0.02956870465846822,0.007084568082542328,-0.0035243179425633255,0.043520124859242636,0.0016807504260310654,0.01954255997603987,0.046315694746875365,0.025923367073185287,0.0418796888227519,0.024504707261093356
2,1.0001535472972973,0.013092541643825768,15.0,29.8,41.0,13.0,2.89959874924874,0.04950560033177915,1.025783058303426,0.04239950438784781,2.2289125537321053,0.09009909468572237,2.059835098680445,0.04573400447693266,0.06979317127025358,0.44598397712464993,0.0066738700921137924,0.009002362635155066,0.008285328965448863,1.0683741561944647e-05,0.0028988997551171506,0.0003958916589885056,0.004033016710644841,0.008045846685959677,0.005049395123011145,12.000799543738513,17.757119658391186,12.706121928698613,15.0,29.8,0.0,0.25,0.3682398648283246,-0.050853040669824476,-0.17244425672692454,0.17104935233404128,0.18916123135860072,0.12660674627581373,0.029247996514660573,0.007316398528557766,-0.005027330189000125,0.03576988294523413,-0.0015731918370036977,0.0160238529092366,0.04052086618456566,0.03313845857169578,0.0357565411953346,0.030409751394409844
3,1.0002152406417113,0.011981293074832889,15.0,29.96,40.0,13.0,2.800085714784517,0.0911492620641792,1.0242839779769632,0.0566291979285971,0.08802784697205328,0.09779487582025682,2.0536121004688033,0.05058943661391089,0.07371478109817496,0.43616601993594284,0.00598107828340417,0.012837987702054318,0.012383302984465052,1.0516070674755476e-05,0.002799162198369137,0.0003958427000878165,0.0036143698414942958,0.009448486384039724,0.007511203512981049,12.000964491153507,19.972923550995098,12.317663483671968,15.0,29.96,0.0,0.25,0.3764993310883785,-0.04058375127643281,-0.1655060160701396,0.16107015270438801,0.18185287943476935,0.13561735196801966,0.02593491149713715,0.00446585147788402,-0.006814374568174461,0.033059413098817485,-0.0027003338344432737,0.01838591907388363,0.03869012183491913,0.032023596556572165,0.03271796835373418,0.03626488199315032
4,1.0002089552238806,0.0108927234547675,15.0,29.74,38.0,12.0,2.6990629976790776,0.12324061286189347,1.0167791842274978,0.06715303637285189,0.046980043786748506,0.101284167359003,2.0368883281923567,0.057653491786446444,0.07800562280316199,0.41392895451123024,0.005813889271390827,0.0165578147604485,0.021351870154671087,1.0349860924518513e-05,0.0026982617629117437,0.0003958471601060463,0.0036940049711190813,0.01159179640289829,0.013580732485851257,11.000836635608824,16.784206341223552,11.090665281201497,15.0,29.74,0.0,0.25,0.37367662073306274,-0.05035379921202074,-0.1588839891577851,0.1591880077355965,0.1737669869982195,0.13475747316524858,0.0253322229531443,0.0005654680275142179,-0.004024362431827235,0.030184723244737064,0.002044418564548859,0.018153416608966175,0.03683518140342377,0.031188709396848466,0.01826919736153255,0.03494608060535465
5,1.0001982382550334,0.009851744495775206,15.0,29.9,37.0,12.0,2.59925753252666,0.15082988178163573,0.9992092686060765,0.07714993349373983,2.112184189948839,0.1032529899710263,2.02538648627795,0.06456225667662262,0.07958073514823884,0.3885007025157361,0.006601688840078788,0.011736567281380995,0.013558111083296553,1.0189127927407486e-05,0.0025985696801082933,0.0003958544980944024,0.004194543668779087,0.008943241016030994,0.00863727182506934,11.000628876733064,18.801945168416964,11.224584845044845,15.0,29.9,0.0,0.25,0.381051359851013,-0.09517360644185474,-0.14700067132983308,0.16947021648531227,0.17129716260571834,0.1400353647267639,0.028710513404724098,-0.0008285117901957313,-0.006851917991609578,0.02933286475427267,0.0030180769990344287,0.019603322869669818,0.03882335051433329,0.05800848725593037,0.027027033621886423,0.043628533500087094
6,1.000161834924966,0.009039172745694182,15.0,29.66,35.0,11.0,2.4991969429439957,0.17766592036695658,0.9965059768868441,0.09223016478873781,-0.026544914732114813,0.11075087360467384,-0.09538764582873939,0.07231922589523579,0.08495687733866573,0.3836144369293517,0.006312668872434961,0.018240642458788404,0.022042534584378874,1.0031950088657639e-05,0.0024987947107932033,0.0003958831212366779,0.004240935622824274,0.012972209776912338,0.01482047406008277,10.00055560465965,13.818665214233624,10.070930675350914,15.0,29.66,0.0,0.25,0.37630204775111603,-0.05305390651652374,-0.1364508868215922,0.1598674465373404,0.1603258792300606,0.12560079830124166,0.02554887773183615,-0.000561355678025084,-0.004341416836700934,0.025695617715494203,0.005819514711955085,0.015770180056237326,0.03350733775178384,0.03819857876469457,0.02711905022077848,0.03359646781413213
7,1.0001145482130813,0.008288813308172365,15.0,29.83,34.0,11.0,2.4000708634943857,0.18746734372529925,0.9760353757314068,0.10246542469205752,2.029703497867806,0.11348412776940804,1.9748814100898053,0.08026128042458883,0.08604495164619005,0.36484404982384894,0.003409669797976521,0.009636588466589328,0.011520830176928346,9.879976196525526e-06,0.0023999103930410705,0.00039591925603287166,0.0022906957733111705,0.007920842776655392,0.0077633006524908755,10.001847161267117,17.89041193657103,10.259340872580916,15.0,29.83,0.0,0.25,0.3533042155738612,-0.03493290627595045,-0.11377444366835132,0.14260750523917004,0.1498934727369549,0.11065695284461965,0.020330041562158622,-0.0016871753954433102,-0.003419340346027536,0.022460477965783102,0.0038023580805685796,0.012240832770100863,0.027515676149021295,0.03012630520725617,0.026183857863623972,0.027944248405445595
8,1.0001062113932737,0.007834882669766067,15.0,29.57,32.0,10.0,2.299204647162707,0.21554382302301323,0.9713883414674829,0.11829967147070812,2.0135548223623303,0.1220708450831245,1.965879903784093,0.09005449212697356,0.09100089907178997,0.35652404677675636,0.0048539763431176075,0.009812382666354395,0.009885019746602637,9.729027730224583e-06,0.0022991326895032606,0.0003959255582247731,0.0034723527206668428,0.008181650876728407,0.0070942191295182274,9.000723127679585,16.12654933073737,9.288391932821687,15.0,29.57,0.0,0.25,0.28214481809299075,-0.04717330133308949,-0.051645504532052064,0.14177505069621738,0.12441012429126923,0.1021894555094883,0.02009326720821977,-0.0026364955323460834,-0.0057844624301269625,0.015472567468507364,0.0005645192491043643,0.010439101191787828,0.023002467934257483,0.05647148577770636,0.023250333988996147,0.027655757216541264
9,1.0001098305084746,0.007836259822397414,15.0,29.75,31.0,10.0,2.2006507370367254,0.2275899698585802,0.9508784158771484,0.12841524302746996,1.9875341684503098,0.12517296699012923,1.9476427414430422,0.09540013052043564,0.09151622295170435,0.34006464418818183,0.005553903262723695,0.006552640997691436,0.008570610674834485,9.585417360554859e-06,0.002200532055322215,0.0003959214364035139,0.0039730461478716984,0.0063840034732699,0.006157739220900931,9.000536163355953,16.762305986512025,9.383411323642894,15.0,29.75,0.0,0.25,0.239617627130553,-0.03031536112733693,-0.03911830515991423,0.13880385279719284,0.13567775344526364,0.0960452867621483,0.019259978531157882,-0.003338056511541288,-0.004168241176243263,0.018402210510445455,0.002469448722781137,0.009221570093254071,0.023441879567428704,0.05446109432747471,0.03487615262298743,0.028700792076166024
10,1.0001660535117058,0.007529029061916678,15.0,29.95,30.0,10.0,2.1000802550368705,0.24637810470519086,0.9465231708577133,0.14599168599439058,1.9758044512691073,0.1345123066693875,1.942635066796603,0.10771997993384369,0.09858456256132538,0.3279914154654109,0.004580140459815425,0.009522275428027374,0.011201723731332464,9.442834787243372e-06,0.0020997509402900993,0.00039587665634104843,0.003276462285794455,0.007794160879417335,0.008033289324279378,9.000765100594643,15.70338660586393,9.224598693482388,15.0,29.95,0.0,0.25,0.2603816052996491,-0.004881270950306581,-0.04081103669492727,0.11206176237312968,0.11018578067070915,0.10087883497968694,0.012553638640156342,-0.0013883867726908665,-0.004915263401204182,0.012136845758247063,0.00103560833198527,0.01017313582199374,0.01743181011019857,0.035618180593040595,0.022757452415126563,0.02844940888822476
11,1.0001779993183368,0.006927384425848119,15.0,29.67,28.0,9.0,1.9983803162219387,0.25345440241636336,0.9263916106714538,0.15623151520220863,1.9569309087715487,0.13743135383281532,1.931440074420338,0.11380176562881393,0.09951131464253225,0.3050989564847584,0.002041344102399896,0.00655074905200729,0.008824603696902298,9.303749642332376e-06,0.001998012366113904,0.00039586599731326416,0.0015691605595102675,0.006278381980097572,0.006802931929868056,8.00299120426013,15.87543066218829,8.289685019703107,15.0,29.67,0.0,0.25,0.2823940013654672,-0.008007839146316503,-0.03509918207222699,0.11536398547284045,0.12276395946160414,0.09531746136847392,0.013304313067441486,0.000678247804928005,-0.0033429874995696846,0.0150658530727031,0.00029113452304399366,0.009082321843761287,0.018726243991952937,0.02077335103496321,0.020845942537423313,0.025841353814291736
12,1.0001619031607265,0.007104444438553986,15.0,29.87,27.0,9.0,1.8999305770178312,0.2615895759315606,0.911923414944024,0.17250061935756492,1.9165180824395436,0.145079370615776,1.8999720559006692,0.125013135485165,0.10457845577871096,0.3001163889612477,0.004063258299247218,0.004506891566810293,0.008519112973506804,9.174080354094937e-06,0.0018996389423831055,0.0003958778937323965,0.0031233185792841826,0.005156415984359526,0.006568899056017185,8.000734072083727,15.193111244056517,8.310836660721598,15.0,29.87,0.0,0.25,0.2627489906897885,0.008513113683540244,-0.01778715534389981,0.12202515411127436,0.11646194002333488,0.08677048754479813,0.014885128095154862,-0.0005924531364443825,-0.003095068830895726,0.013558822820510618,0.0019468571591276412,0.007526585861986997,0.017985268388826237,0.025846113741365438,0.01702513369999483,0.02559959693827368
